Trip ID,User ID,Destination,Start date,End date,Duration (days),Traveler name,Traveler age,Traveler gender,Traveler nationality,Accommodation type,Accommodation cost,Average Daily Cost,Total cost,Local Transport Mode
T01121,U0200,"Cusco, Peru",2022-03-01,2022-03-09,9,Miyu,38,Female,Japanese,Hostel,279.91,844.05,1123.96,Voiture (si isolé)
T01122,U0201,"Ubud, Indonesia",2015-03-27,2015-04-10,15,Emily,47,Female,American,Guesthouse,934.66,1322.18,2256.84,Bateau
T01123,U0201,"Copenhagen, Denmark",2021-11-11,2021-11-14,4,Emily,47,Female,American,Hotel,868.9,683.38,1552.28,Taxi
T01124,U0201,"Sydney, Australia",2016-07-12,2016-07-17,6,Emily,47,Female,American,Hotel,1086.27,1003.26,2089.53,4x4
T01125,U0201,"Amman, Jordan",2021-03-14,2021-03-23,10,Emily,47,Female,American,Hostel,349.6,984.56,1334.16,Scooter
T01126,U0201,"Miami, USA",2018-11-11,2018-11-16,6,Emily,47,Female,American,Hotel,1131.05,975.2,2106.25,Bateau
T01127,U0201,"Delhi, India",2017-12-22,2017-12-24,3,Emily,47,Female,American,Hostel,53.05,135.87,188.92,Taxi
T01128,U0202,"Paris, France",2015-09-08,2015-09-10,3,Pedro,46,Male,Brazilian,Guesthouse,284.72,572.27,856.99,Vélo
T01129,U0202,"Patagonia, Argentina",2024-04-18,2024-04-24,7,Pedro,46,Male,Brazilian,Airbnb,644.2,628.62,1272.82,Marche
T01130,U0202,"Havana, Cuba",2022-07-27,2022-08-05,10,Pedro,46,Male,Brazilian,Guesthouse,279.11,406.4,685.51,Métro
T01131,U0202,"New York, USA",2020-04-17,2020-04-20,4,Pedro,46,Male,Brazilian,Hotel,771.68,734.05,1505.73,Taxi
T01132,U0202,"Himeji, Japan",2023-11-17,2023-12-01,15,Pedro,46,Male,Brazilian,Hotel,1862.99,1415.24,3278.23,Bateau
T01133,U0202,"Cape Town, South Africa",2024-01-19,2024-01-21,3,Pedro,46,Male,Brazilian,Guesthouse,175.45,274.82,450.27,4x4
T01134,U0202,"Prague, Czech Republic",2021-11-16,2021-11-22,7,Pedro,46,Male,Brazilian,Airbnb,322.92,333.73,656.65,Scooter
T01135,U0203,"Cusco, Peru",2016-05-09,2016-05-16,8,Hyun-Woo,63,Male,South Korean,Hotel,834.46,660.72,1495.18,Transports Publics
T01136,U0203,"Havana, Cuba",2022-10-07,2022-10-17,11,Hyun-Woo,63,Male,South Korean,Villa,1193.88,462.95,1656.83,Bateau
T01137,U0203,"Chiang Mai, Thailand",2025-01-21,2025-01-31,11,Hyun-Woo,63,Male,South Korean,Hotel,704.92,509.43,1214.35,Vélo
T01138,U0203,"Kraków, Poland",2015-12-10,2015-12-13,4,Hyun-Woo,63,Male,South Korean,Airbnb,193.03,177.92,370.95,Voiture (si isolé)
T01139,U0204,"Bogotá, Colombia",2016-09-11,2016-09-14,4,Ha-Joon,35,Male,South Korean,Guesthouse,194.36,326.36,520.72,Bateau
T01140,U0204,"Melbourne, Australia",2016-04-12,2016-04-15,4,Ha-Joon,35,Male,South Korean,Hostel,188.44,708.23,896.67,Bateau
T01141,U0204,"Los Angeles, USA",2019-02-12,2019-02-17,6,Ha-Joon,35,Male,South Korean,Hostel,296.35,981.18,1277.53,Randonnée
T01142,U0204,"Pékin, China",2015-06-25,2015-06-29,5,Ha-Joon,35,Male,South Korean,Airbnb,451.64,433.91,885.55,Randonnée
T01143,U0204,"Shanghai, China",2025-03-17,2025-03-19,3,Ha-Joon,35,Male,South Korean,Hostel,117.85,278.34,396.19,Voiture (si isolé)
T01144,U0204,"Seoul, South Korea",2016-05-11,2016-05-16,6,Ha-Joon,35,Male,South Korean,Hostel,302.28,1142.93,1445.21,Taxi
T01145,U0204,"Auckland, New Zealand",2020-05-19,2020-05-21,3,Ha-Joon,35,Male,South Korean,Hostel,113.09,292.95,406.04,Transports Publics
T01146,U0205,"Mexico City, Mexico",2024-08-21,2024-08-26,6,Đức,62,Male,Vietnamese,Hostel,214.44,498.39,712.83,Scooter
T01147,U0205,"Cusco, Peru",2015-03-03,2015-03-11,9,Đức,62,Male,Vietnamese,Airbnb,742.35,731.8,1474.15,Bateau
T01148,U0205,"Vienna, Austria",2025-09-17,2025-09-20,4,Đức,62,Male,Vietnamese,Hostel,148.41,376.52,524.93,4x4
T01149,U0205,"Banff, Canada",2025-05-02,2025-05-10,9,Đức,62,Male,Vietnamese,Hostel,444.43,1542.08,1986.51,Voiture
T01150,U0205,"Paris, France",2017-11-14,2017-11-18,5,Đức,62,Male,Vietnamese,Hostel,277.2,825.92,1103.12,Scooter
T01151,U0205,"Nice, France",2023-09-15,2023-09-24,10,Đức,62,Male,Vietnamese,Guesthouse,999.14,1754.68,2753.82,Métro
T01152,U0205,"Kraków, Poland",2017-05-16,2017-05-20,5,Đức,62,Male,Vietnamese,Hostel,90.65,232.06,322.71,Voiture (si isolé)
T01153,U0205,"Galapagos Islands, Ecuador",2019-07-01,2019-07-08,8,Đức,62,Male,Vietnamese,Hostel,384.37,1401.82,1786.19,Scooter
T01154,U0206,"Pékin, China",2017-08-16,2017-08-22,7,Nkosi,61,Male,South African,Hotel,915.01,655.61,1570.62,Marche
T01155,U0206,"Ubud, Indonesia",2017-09-20,2017-10-04,15,Nkosi,61,Male,South African,Hotel,1774.02,1481.62,3255.64,4x4
T01156,U0206,"Chiang Mai, Thailand",2015-08-09,2015-08-16,8,Nkosi,61,Male,South African,Hotel,562.63,329.85,892.48,Tuk-Tuk
T01157,U0206,"Hoi An, Vietnam",2018-07-16,2018-07-25,10,Nkosi,61,Male,South African,Hotel,647.94,461.68,1109.62,Randonnée
T01158,U0206,"Cusco, Peru",2017-12-24,2018-01-02,10,Nkosi,61,Male,South African,Guesthouse,511.94,816.81,1328.75,Scooter
T01159,U0207,"Zanzibar, Tanzania",2019-01-01,2019-01-06,6,Khaya,69,Male,South African,Guesthouse,306.43,517.26,823.69,Tuk-Tuk
T01160,U0207,"Zanzibar, Tanzania",2016-12-05,2016-12-13,9,Khaya,69,Male,South African,Airbnb,684.82,815.93,1500.75,Bus
T01161,U0207,"Melbourne, Australia",2022-05-15,2022-05-19,5,Khaya,69,Male,South African,Airbnb,648.06,914.51,1562.57,4x4
T01162,U0208,"Prague, Czech Republic",2019-09-10,2019-09-16,7,Alice,68,Female,Brazilian,Guesthouse,224.88,328.65,553.53,Transports Publics
T01163,U0208,"Himeji, Japan",2019-06-14,2019-06-23,10,Alice,68,Female,Brazilian,Guesthouse,592.54,966.56,1559.1,Voiture (si isolé)
T01164,U0208,"Seoul, South Korea",2020-10-09,2020-10-15,7,Alice,68,Female,Brazilian,Guesthouse,542.79,1204.68,1747.47,Transports Publics
T01165,U0208,"London, UK",2015-01-23,2015-01-28,6,Alice,68,Female,Brazilian,Guesthouse,610.06,1162.27,1772.33,Transports Publics
T01166,U0209,"Cusco, Peru",2016-12-21,2016-12-29,9,Đức,20,Male,Vietnamese,Guesthouse,550.05,745.32,1295.37,Randonnée
T01167,U0209,"Kruger NP, South Africa",2023-05-25,2023-06-07,14,Đức,20,Male,Vietnamese,Hotel,3043.15,2514.03,5557.18,Randonnée
T01168,U0209,"Amsterdam, Netherlands",2017-01-04,2017-01-06,3,Đức,20,Male,Vietnamese,Hotel,598.46,521.39,1119.85,Randonnée
T01169,U0209,"Bogotá, Colombia",2018-12-17,2018-12-22,6,Đức,20,Male,Vietnamese,Hotel,681.08,508.89,1189.97,Randonnée
T01170,U0209,"Lisbon, Portugal",2024-04-04,2024-04-06,3,Đức,20,Male,Vietnamese,Guesthouse,183.02,264.02,447.04,Scooter
T01171,U0209,"Mexico City, Mexico",2017-10-13,2017-10-19,7,Đức,20,Male,Vietnamese,Hostel,270.17,652.6,922.77,Randonnée
T01172,U0210,"Amman, Jordan",2025-10-20,2025-11-03,15,Elsa,47,Female,Swedish,Hotel,1756.13,1279.84,3035.97,Voiture (si isolé)
T01173,U0210,"Himeji, Japan",2023-12-26,2024-01-08,14,Elsa,47,Female,Swedish,Hotel,1888.2,1309.98,3198.18,Taxi
T01174,U0210,"Kruger NP, South Africa",2022-08-25,2022-09-03,10,Elsa,47,Female,Swedish,Hotel,1979.66,1853.29,3832.95,Métro
T01175,U0210,"Dubrovnik, Croatia",2023-11-18,2023-11-25,8,Elsa,47,Female,Swedish,Hotel,966.31,788.65,1754.96,Vélo
T01176,U0210,"Vienna, Austria",2018-08-15,2018-08-20,6,Elsa,47,Female,Swedish,Hotel,805.91,525.42,1331.33,Vélo
T01177,U0211,"Seville, Spain",2016-12-08,2016-12-14,7,Ethan,64,Male,Canadian,Airbnb,545.23,595.14,1140.37,Métro
T01178,U0211,"Kruger NP, South Africa",2020-12-14,2020-12-27,14,Ethan,64,Male,Canadian,Airbnb,2192.01,2483.62,4675.63,Vélo
T01179,U0211,"Galapagos Islands, Ecuador",2018-07-05,2018-07-16,12,Ethan,64,Male,Canadian,Airbnb,1803.61,2021.74,3825.35,Vélo
T01180,U0211,"Seville, Spain",2019-05-22,2019-05-24,3,Ethan,64,Male,Canadian,Airbnb,281.14,249.82,530.96,Vélo
T01181,U0211,"Le Caire, Egypt",2023-08-08,2023-08-21,14,Ethan,64,Male,Canadian,Airbnb,694.22,616.92,1311.14,Vélo
T01182,U0211,"Nairobi, Kenya",2016-07-22,2016-07-28,7,Ethan,64,Male,Canadian,Airbnb,558.87,691.7,1250.57,Scooter
T01183,U0211,"Malé, Maldives",2016-08-04,2016-08-10,7,Ethan,64,Male,Canadian,Airbnb,1048.67,1181.33,2230.0,Vélo
T01184,U0212,"Paris, France",2025-11-01,2025-11-04,4,Aisha,64,Female,Nigerian,Hotel,783.83,648.43,1432.26,Voiture
T01185,U0212,"Montreal, Canada",2020-09-18,2020-09-21,4,Aisha,64,Female,Nigerian,Hostel,141.17,345.18,486.35,Scooter
T01186,U0212,"Wellington, New Zealand",2024-06-16,2024-06-21,6,Aisha,64,Female,Nigerian,Guesthouse,459.79,1123.36,1583.15,Marche
T01187,U0213,"Cartagena, Colombia",2015-09-04,2015-09-08,5,Da-Eun,25,Female,South Korean,Airbnb,364.76,444.37,809.13,Voiture
T01188,U0213,"Cartagena, Colombia",2021-07-18,2021-07-27,10,Da-Eun,25,Female,South Korean,Airbnb,843.71,952.35,1796.06,Vélo
T01189,U0213,"Cartagena, Colombia",2015-12-27,2016-01-01,6,Da-Eun,25,Female,South Korean,Airbnb,443.56,486.41,929.97,Voiture (si isolé)
T01190,U0213,"Havana, Cuba",2022-01-17,2022-01-27,11,Da-Eun,25,Female,South Korean,Villa,1458.61,518.68,1977.29,4x4
T01191,U0214,"Perth, Australia",2018-03-01,2018-03-05,5,Hugo,61,Male,French,Airbnb,424.8,463.1,887.9,Marche
T01192,U0214,"Bangkok, Thailand",2017-10-13,2017-10-16,4,Hugo,61,Male,French,Hotel,307.14,164.57,471.71,4x4
T01193,U0214,"Le Caire, Egypt",2022-07-16,2022-07-30,15,Hugo,61,Male,French,Hostel,310.51,738.78,1049.29,Randonnée
T01194,U0214,"Bali, Indonesia",2019-02-27,2019-03-07,9,Hugo,61,Male,French,Villa,2027.86,746.01,2773.87,Transports Publics
T01195,U0214,"Phuket, Thailand",2020-06-05,2020-06-15,11,Hugo,61,Male,French,Airbnb,622.8,534.07,1156.87,Taxi
T01196,U0214,"Rio de Janeiro, Brazil",2019-01-15,2019-01-22,8,Hugo,61,Male,French,Resort,2226.08,666.3,2892.38,Taxi
T01197,U0214,"Rio de Janeiro, Brazil",2022-04-15,2022-04-20,6,Hugo,61,Male,French,Resort,1509.21,554.41,2063.62,4x4
T01198,U0215,"Stockholm, Sweden",2024-10-05,2024-10-07,3,Chiara,61,Female,Italian,Guesthouse,245.21,581.23,826.44,Transports Publics
T01199,U0215,"Patagonia, Argentina",2024-05-20,2024-05-31,12,Chiara,61,Female,Italian,Guesthouse,648.0,1186.83,1834.83,Tuk-Tuk
T01200,U0215,"Venice, Italy",2015-11-23,2015-11-26,4,Chiara,61,Female,Italian,Guesthouse,385.69,784.92,1170.61,Transports Publics
T01201,U0216,"Hokkaido, Japan",2020-01-16,2020-01-23,8,Salomé,61,Female,Colombian,Hotel,1027.69,778.2,1805.89,4x4
T01202,U0216,"Montreal, Canada",2022-03-15,2022-03-21,7,Salomé,61,Female,Colombian,Airbnb,664.47,666.26,1330.73,Taxi
T01203,U0216,"Patagonia, Argentina",2021-04-15,2021-04-27,13,Salomé,61,Female,Colombian,Camping,268.14,1099.59,1367.73,Taxi
T01204,U0216,"Hokkaido, Japan",2017-07-10,2017-07-18,9,Salomé,61,Female,Colombian,Camping,202.62,744.47,947.09,Taxi
T01205,U0216,"Kruger NP, South Africa",2022-11-04,2022-11-16,13,Salomé,61,Female,Colombian,Guesthouse,1017.1,2286.97,3304.07,Marche
T01206,U0216,"Queenstown, New Zealand",2015-11-13,2015-11-23,11,Salomé,61,Female,Colombian,Hotel,2353.46,2085.63,4439.09,4x4
T01207,U0217,"Dubai, UAE",2024-01-13,2024-01-16,4,Faisal,46,Male,Saudi,Hostel,200.69,668.43,869.12,Voiture (si isolé)
T01208,U0217,"Cairns, Australia",2024-04-20,2024-04-26,7,Faisal,46,Male,Saudi,Airbnb,527.06,663.79,1190.85,Scooter
T01209,U0218,"London, UK",2021-01-20,2021-01-23,4,Sizakele,67,Female,South African,Airbnb,590.63,760.89,1351.52,4x4
T01210,U0218,"Munich, Germany",2016-05-03,2016-05-05,3,Sizakele,67,Female,South African,Airbnb,250.86,258.13,508.99,Scooter
T01211,U0219,"Delhi, India",2016-04-18,2016-04-23,6,Carla,57,Female,Spanish,Hotel,480.55,252.78,733.33,Scooter
T01212,U0219,"Kruger NP, South Africa",2016-11-11,2016-11-23,13,Carla,57,Female,Spanish,Airbnb,1821.2,2481.91,4303.11,Randonnée
T01213,U0219,"Dubai, UAE",2015-08-15,2015-08-17,3,Carla,57,Female,Spanish,Airbnb,425.56,553.08,978.64,Marche
T01214,U0219,"Phuket, Thailand",2021-03-22,2021-04-02,12,Carla,57,Female,Spanish,Airbnb,638.17,593.29,1231.46,4x4
T01215,U0219,"Dubai, UAE",2025-04-25,2025-04-28,4,Carla,57,Female,Spanish,Airbnb,603.45,682.57,1286.02,Bus
T01216,U0219,"Malé, Maldives",2017-11-01,2017-11-06,6,Carla,57,Female,Spanish,Guesthouse,464.32,1001.7,1466.02,Bus
T01217,U0219,"Bali, Indonesia",2015-03-12,2015-03-23,12,Carla,57,Female,Spanish,Airbnb,1066.36,1006.3,2072.66,4x4
T01218,U0219,"Kruger NP, South Africa",2019-08-21,2019-08-27,7,Carla,57,Female,Spanish,Hotel,1504.02,1212.5,2716.52,Métro
T01219,U0220,"Stockholm, Sweden",2018-01-12,2018-01-18,7,Ayanda,38,Female,South African,Hotel,1400.48,1261.73,2662.21,Voiture (si isolé)
T01220,U0220,"New York, USA",2017-08-27,2017-09-02,7,Ayanda,38,Female,South African,Guesthouse,576.77,1349.58,1926.35,Tuk-Tuk
T01221,U0221,"Dubai, UAE",2022-05-18,2022-05-23,6,Sana,55,Female,Japanese,Airbnb,956.09,1183.89,2139.98,Métro
T01222,U0221,"Bogotá, Colombia",2023-09-11,2023-09-15,5,Sana,55,Female,Japanese,Guesthouse,255.78,412.73,668.51,Bus
T01223,U0221,"Dubrovnik, Croatia",2025-01-09,2025-01-13,5,Sana,55,Female,Japanese,Guesthouse,284.12,475.96,760.08,Bus
T01224,U0221,"Barcelona, Spain",2018-06-05,2018-06-09,5,Sana,55,Female,Japanese,Guesthouse,287.62,423.75,711.37,Voiture (si isolé)
T01225,U0221,"Geneva, Switzerland",2020-08-07,2020-08-11,5,Sana,55,Female,Japanese,Hostel,292.59,896.27,1188.86,Scooter
T01226,U0221,"Rio de Janeiro, Brazil",2021-12-07,2021-12-13,7,Sana,55,Female,Japanese,Airbnb,569.36,629.19,1198.55,Métro
T01227,U0221,"Miami, USA",2025-12-05,2025-12-11,7,Sana,55,Female,Japanese,Guesthouse,584.78,1264.41,1849.19,Bateau
T01228,U0221,"Cartagena, Colombia",2025-03-23,2025-03-30,8,Sana,55,Female,Japanese,Guesthouse,435.73,713.47,1149.2,Métro
T01229,U0221,"Mexico City, Mexico",2024-11-16,2024-11-20,5,Sana,55,Female,Japanese,Hotel,541.29,421.08,962.37,Métro
T01230,U0221,"Ubud, Indonesia",2020-01-25,2020-02-02,9,Sana,55,Female,Japanese,Guesthouse,427.96,824.05,1252.01,Tuk-Tuk
T01231,U0222,"Yellowstone NP, USA",2016-12-10,2016-12-17,8,Carl,29,Male,Swedish,Hostel,285.01,787.49,1072.5,Voiture
T01232,U0222,"Reykjavik, Iceland",2023-05-23,2023-05-29,7,Carl,29,Male,Swedish,Hostel,394.92,1178.37,1573.29,Tuk-Tuk
T01233,U0222,"Hokkaido, Japan",2016-12-26,2017-01-08,14,Carl,29,Male,Swedish,Hostel,548.19,1382.66,1930.85,Métro
T01234,U0222,"Copenhagen, Denmark",2016-02-24,2016-02-29,6,Carl,29,Male,Swedish,Hostel,358.53,1168.63,1527.16,Vélo
T01235,U0222,"Hokkaido, Japan",2018-04-07,2018-04-17,11,Carl,29,Male,Swedish,Hostel,354.05,913.51,1267.56,Transports Publics
T01236,U0222,"Banff, Canada",2015-08-03,2015-08-17,15,Carl,29,Male,Swedish,Hostel,820.98,2874.76,3695.74,Voiture
T01237,U0222,"Hokkaido, Japan",2018-02-05,2018-02-13,9,Carl,29,Male,Swedish,Hostel,324.42,795.56,1119.98,Métro
T01238,U0223,"New York, USA",2019-08-05,2019-08-09,5,Yumi,68,Female,Japanese,Hotel,877.92,889.78,1767.7,Métro
T01239,U0223,"Seoul, South Korea",2019-04-24,2019-04-28,5,Yumi,68,Female,Japanese,Hotel,1120.0,906.43,2026.43,Transports Publics
T01240,U0223,"Buenos Aires, Argentina",2020-05-17,2020-05-22,6,Yumi,68,Female,Japanese,Hotel,773.41,505.46,1278.87,Voiture (si isolé)
T01241,U0223,"Mexico City, Mexico",2015-02-24,2015-02-26,3,Yumi,68,Female,Japanese,Hotel,391.78,251.02,642.8,4x4
T01242,U0224,"Amsterdam, Netherlands",2023-12-17,2023-12-19,3,Layla,35,Female,Egyptian,Guesthouse,306.97,518.36,825.33,Métro
T01243,U0224,"Toronto, Canada",2015-12-17,2015-12-20,4,Layla,35,Female,Egyptian,Airbnb,331.5,378.54,710.04,Marche
T01244,U0225,"Pékin, China",2022-06-25,2022-06-29,5,Ali,61,Male,Egyptian,Hostel,169.24,471.04,640.28,4x4
T01245,U0225,"Perth, Australia",2023-07-26,2023-08-01,7,Ali,61,Male,Egyptian,Guesthouse,385.95,649.97,1035.92,Métro
T01246,U0225,"Kyoto, Japan",2022-10-17,2022-10-23,7,Ali,61,Male,Egyptian,Hotel,783.93,606.83,1390.76,Transports Publics
T01247,U0225,"Boston, USA",2015-08-16,2015-08-19,4,Ali,61,Male,Egyptian,Guesthouse,374.62,692.16,1066.78,Bateau
T01248,U0225,"Chicago, USA",2025-04-21,2025-04-26,6,Ali,61,Male,Egyptian,Guesthouse,304.47,486.28,790.75,Taxi
T01249,U0225,"Buenos Aires, Argentina",2018-09-20,2018-09-22,3,Ali,61,Male,Egyptian,Airbnb,280.01,271.44,551.45,Transports Publics
T01250,U0225,"Pékin, China",2017-05-20,2017-05-23,4,Ali,61,Male,Egyptian,Guesthouse,212.01,360.02,572.03,Voiture
T01251,U0225,"Rome, Italy",2019-04-08,2019-04-12,5,Ali,61,Male,Egyptian,Hotel,551.47,422.82,974.29,Scooter
T01252,U0226,"Fiji, Fiji",2022-03-23,2022-04-02,11,Jack,65,Male,Australian,Hotel,1456.43,897.86,2354.29,Scooter
T01253,U0226,"Zanzibar, Tanzania",2015-07-17,2015-07-25,9,Jack,65,Male,Australian,Hotel,1132.58,794.01,1926.59,Scooter
T01254,U0226,"Zanzibar, Tanzania",2018-05-22,2018-05-26,5,Jack,65,Male,Australian,Resort,1416.26,455.7,1871.96,Scooter
T01255,U0226,"Cairns, Australia",2024-03-12,2024-03-19,8,Jack,65,Male,Australian,Hotel,995.74,777.92,1773.66,Transports Publics
T01256,U0226,"Kruger NP, South Africa",2021-03-08,2021-03-20,13,Jack,65,Male,Australian,Camping,486.99,2258.04,2745.03,4x4
T01257,U0226,"Phuket, Thailand",2021-01-05,2021-01-13,9,Jack,65,Male,Australian,Hotel,613.88,369.34,983.22,4x4
T01258,U0226,"Ubud, Indonesia",2017-08-11,2017-08-21,11,Jack,65,Male,Australian,Hotel,1486.17,1074.02,2560.19,Voiture (si isolé)
T01259,U0226,"Iguazu Falls, Brazil",2023-02-09,2023-02-18,10,Jack,65,Male,Australian,Hotel,619.17,412.83,1032.0,Scooter
T01260,U0227,"Cape Town, South Africa",2022-03-18,2022-03-22,5,Ngozi,25,Female,Nigerian,Hostel,149.1,424.16,573.26,Bus
T01261,U0227,"Cusco, Peru",2019-01-14,2019-01-25,12,Ngozi,25,Female,Nigerian,Hotel,1383.66,997.46,2381.12,Bus
T01262,U0227,"Hokkaido, Japan",2023-07-01,2023-07-12,12,Ngozi,25,Female,Nigerian,Hotel,1529.42,1095.0,2624.42,Bus
T01263,U0228,"Seville, Spain",2019-01-14,2019-01-20,7,Omar,30,Male,Egyptian,Hotel,766.67,581.13,1347.8,Marche
T01264,U0228,"Nairobi, Kenya",2016-02-08,2016-02-13,6,Omar,30,Male,Egyptian,Guesthouse,291.01,593.58,884.59,Bus
T01265,U0228,"Fiji, Fiji",2025-04-26,2025-05-03,8,Omar,30,Male,Egyptian,Villa,1564.35,763.66,2328.01,Tuk-Tuk
T01266,U0228,"Sydney, Australia",2025-10-16,2025-10-18,3,Omar,30,Male,Egyptian,Hotel,549.24,533.72,1082.96,Transports Publics
T01267,U0229,"Le Caire, Egypt",2023-07-21,2023-08-04,15,Chloé,36,Female,French,Guesthouse,445.92,728.01,1173.93,Bus
T01268,U0229,"Giza, Egypt",2021-07-12,2021-07-23,12,Chloé,36,Female,French,Guesthouse,413.8,530.96,944.76,Taxi
T01269,U0229,"Patagonia, Argentina",2019-07-25,2019-08-02,9,Chloé,36,Female,French,Guesthouse,533.86,810.83,1344.69,Métro
T01270,U0229,"Kyoto, Japan",2019-12-10,2019-12-21,12,Chloé,36,Female,French,Guesthouse,754.09,1074.76,1828.85,Métro
T01271,U0229,"Hoi An, Vietnam",2018-02-23,2018-03-05,11,Chloé,36,Female,French,Guesthouse,372.79,506.58,879.37,Bateau
T01272,U0230,"Cape Town, South Africa",2020-11-08,2020-11-14,7,Francesco,55,Male,Italian,Airbnb,574.64,654.08,1228.72,Voiture (si isolé)
T01273,U0230,"Vancouver, Canada",2021-04-22,2021-04-27,6,Francesco,55,Male,Italian,Hotel,1186.53,1076.32,2262.85,Vélo
T01274,U0230,"San Diego, USA",2022-11-05,2022-11-10,6,Francesco,55,Male,Italian,Hostel,318.31,1146.35,1464.66,Voiture
T01275,U0231,"Seville, Spain",2019-08-17,2019-08-22,6,Mandla,44,Male,South African,Guesthouse,307.34,509.64,816.98,Vélo
T01276,U0231,"Fiji, Fiji",2018-11-13,2018-11-18,6,Mandla,44,Male,South African,Airbnb,453.73,492.43,946.16,Métro
T01277,U0231,"Dubai, UAE",2019-05-14,2019-05-20,7,Mandla,44,Male,South African,Airbnb,1010.07,1225.84,2235.91,Marche
T01278,U0231,"Perth, Australia",2016-03-23,2016-04-03,12,Mandla,44,Male,South African,Villa,2721.29,1007.0,3728.29,Tuk-Tuk
T01279,U0231,"Hoi An, Vietnam",2016-02-02,2016-02-14,13,Mandla,44,Male,South African,Hostel,230.21,641.57,871.78,Tuk-Tuk
T01280,U0231,"Banff, Canada",2019-02-26,2019-03-04,7,Mandla,44,Male,South African,Guesthouse,715.63,1189.92,1905.55,Tuk-Tuk
T01281,U0231,"Dubai, UAE",2016-02-15,2016-02-20,6,Mandla,44,Male,South African,Hotel,1090.66,1101.53,2192.19,Bateau
T01282,U0231,"Galapagos Islands, Ecuador",2020-01-06,2020-01-14,9,Mandla,44,Male,South African,Guesthouse,890.58,1658.85,2549.43,Scooter
T01283,U0232,"Seoul, South Korea",2015-07-18,2015-07-20,3,Leon,60,Male,German,Hostel,155.03,566.38,721.41,Voiture (si isolé)
T01284,U0232,"Cape Town, South Africa",2020-12-03,2020-12-06,4,Leon,60,Male,German,Hostel,157.56,356.97,514.53,Voiture
T01285,U0232,"Reykjavik, Iceland",2018-05-14,2018-05-27,14,Leon,60,Male,German,Hostel,663.93,2714.65,3378.58,Bus
T01286,U0232,"Bogotá, Colombia",2018-02-27,2018-03-01,3,Leon,60,Male,German,Guesthouse,159.79,281.21,441.0,Transports Publics
T01287,U0232,"Auckland, New Zealand",2016-02-03,2016-02-05,3,Leon,60,Male,German,Hotel,382.67,275.64,658.31,Voiture (si isolé)
T01288,U0232,"Dublin, Ireland",2022-11-13,2022-11-16,4,Leon,60,Male,German,Hostel,130.77,328.27,459.04,Randonnée
T01289,U0232,"Galapagos Islands, Ecuador",2015-03-05,2015-03-18,14,Leon,60,Male,German,Guesthouse,1358.62,2554.1,3912.72,Tuk-Tuk
T01290,U0233,"Moscow, Russia",2015-03-16,2015-03-21,6,Ksenia,36,Female,Russian,Guesthouse,360.7,562.55,923.25,Voiture (si isolé)
T01291,U0233,"Zermatt, Switzerland",2022-05-12,2022-05-19,8,Ksenia,36,Female,Russian,Hostel,482.35,1337.42,1819.77,Randonnée
T01292,U0233,"Hokkaido, Japan",2017-03-25,2017-04-04,11,Ksenia,36,Female,Russian,Guesthouse,538.23,1059.42,1597.65,Transports Publics
T01293,U0234,"Copenhagen, Denmark",2021-03-18,2021-03-22,5,Anja,25,Female,German,Guesthouse,432.36,863.35,1295.71,Bus
T01294,U0234,"Reykjavik, Iceland",2019-02-24,2019-03-09,14,Anja,25,Female,German,Guesthouse,1189.12,2704.7,3893.82,Taxi
T01295,U0234,"Queenstown, New Zealand",2022-01-04,2022-01-16,13,Anja,25,Female,German,Guesthouse,1258.84,2210.53,3469.37,Voiture
T01296,U0235,"Vienna, Austria",2015-08-08,2015-08-10,3,Jack,24,Male,Australian,Hostel,108.39,279.87,388.26,Vélo
T01297,U0235,"Paris, France",2016-04-04,2016-04-10,7,Jack,24,Male,Australian,Hostel,395.13,1355.44,1750.57,Tuk-Tuk
T01298,U0235,"Wellington, New Zealand",2024-05-08,2024-05-13,6,Jack,24,Male,Australian,Airbnb,724.83,1152.31,1877.14,Voiture (si isolé)
T01299,U0235,"Melbourne, Australia",2017-03-10,2017-03-12,3,Jack,24,Male,Australian,Airbnb,376.73,580.82,957.55,Tuk-Tuk
T01300,U0236,"Paris, France",2015-11-21,2015-11-25,5,Gustav,43,Male,Swedish,Airbnb,754.46,939.5,1693.96,Vélo
T01301,U0236,"Boston, USA",2019-11-20,2019-11-23,4,Gustav,43,Male,Swedish,Hostel,211.51,683.68,895.19,Voiture (si isolé)
T01302,U0236,"Kruger NP, South Africa",2024-07-14,2024-07-22,9,Gustav,43,Male,Swedish,Hotel,1815.92,1767.43,3583.35,Tuk-Tuk
T01303,U0236,"Amsterdam, Netherlands",2025-07-06,2025-07-11,6,Gustav,43,Male,Swedish,Hotel,1193.24,1105.16,2298.4,Vélo
T01304,U0236,"Cape Town, South Africa",2016-04-25,2016-04-30,6,Gustav,43,Male,Swedish,Hotel,806.48,562.57,1369.05,Randonnée
T01305,U0236,"Lisbon, Portugal",2016-10-08,2016-10-12,5,Gustav,43,Male,Swedish,Hotel,558.54,436.78,995.32,Tuk-Tuk
T01306,U0237,"Chiang Mai, Thailand",2018-11-15,2018-11-27,13,Nour,47,Female,Egyptian,Airbnb,700.2,622.87,1323.07,Vélo
T01307,U0237,"Perth, Australia",2024-01-13,2024-01-23,11,Nour,47,Female,Egyptian,Villa,2392.23,1004.56,3396.79,Voiture (si isolé)
